analysis_scope	current_status	legacy_status	legacy_validity	evidence_boundary
raw75_cross_pair_ordering	SUPERSEDED_NOT_EVALUABLE	ordering_ok=TRUE	SUPERSEDED	metric comparability under independent audit
raw75_dominant_contrast	SUPERSEDED_NOT_EVALUABLE	KERNEL_STATE_SEPARATION_SUPPORTED	SUPERSEDED	no active dominant-contrast claim
raw75_metric_agreement_on_order	SUPERSEDED_NOT_EVALUABLE	supported=3/3	SUPERSEDED	within-pair outputs do not license ordering agreement
raw75_pairwise_discrepancy	AUDIT_PENDING_UNADJUSTED_ASSOCIATION	pairwise_supported	UNDER_AUDIT	unadjusted observational groups
raw75_outlier_test	ONE_MAX_NORM_PER_GROUP_ONLY	outlier_LOO=stable_3/3	SUPERSEDED_LABEL	one simultaneous max-norm removal per group; not exhaustive LOO
adjusted74_cross_pair_ordering	SUPERSEDED_NOT_EVALUABLE	GO_REDUCED_CONTROL_SEVERE_DISTANCE	SUPERSEDED	separate source-adjusted arm
adjusted74_pairwise_discrepancy	DESCRIPTIVE_AUDIT_PENDING	pairwise_discrepancy_present	UNDER_AUDIT	label-informed source product
adjusted74_label_permutations	NON_EXACT_LABEL_INFORMED_DIAGNOSTIC	permutation_p_values	QUALIFIED	fixed adjusted matrix is not an independent covariate adjustment
metric_repair	HOLD	none	NOT_AUTHORIZED	post-hoc protocol required after independent audit

